State,Year,Crime Type,Value
andhra pradesh,2001,No. of Rape cases,871
arunachal pradesh,2001,No. of Rape cases,33
assam,2001,No. of Rape cases,817
bihar,2001,No. of Rape cases,888
chhattisgarh,2001,No. of Rape cases,959
goa,2001,No. of Rape cases,12
gujarat,2001,No. of Rape cases,286
haryana,2001,No. of Rape cases,398
himachal pradesh,2001,No. of Rape cases,124
jammu & kashmir,2001,No. of Rape cases,169
jharkhand,2001,No. of Rape cases,567
karnataka,2001,No. of Rape cases,293
kerala,2001,No. of Rape cases,562
madhya pradesh,2001,No. of Rape cases,2851
maharashtra,2001,No. of Rape cases,1302
manipur,2001,No. of Rape cases,20
meghalaya,2001,No. of Rape cases,26
mizoram,2001,No. of Rape cases,52
nagaland,2001,No. of Rape cases,17
odisha,2001,No. of Rape cases,790
punjab,2001,No. of Rape cases,298
rajasthan,2001,No. of Rape cases,1049
sikkim,2001,No. of Rape cases,8
tamil nadu,2001,No. of Rape cases,423
tripura,2001,No. of Rape cases,102
uttar pradesh,2001,No. of Rape cases,1958
uttarakhand,2001,No. of Rape cases,74
west bengal,2001,No. of Rape cases,709
a & n islands,2001,No. of Rape cases,3
chandigarh,2001,No. of Rape cases,18
d & n haveli,2001,No. of Rape cases,6
daman & diu,2001,No. of Rape cases,0
lakshadweep,2001,No. of Rape cases,0
puducherry,2001,No. of Rape cases,9
andhra pradesh,2002,No. of Rape cases,1002
arunachal pradesh,2002,No. of Rape cases,38
assam,2002,No. of Rape cases,970
bihar,2002,No. of Rape cases,1040
chhattisgarh,2002,No. of Rape cases,992
goa,2002,No. of Rape cases,12
gujarat,2002,No. of Rape cases,267
haryana,2002,No. of Rape cases,361
himachal pradesh,2002,No. of Rape cases,137
jammu & kashmir,2002,No. of Rape cases,192
jharkhand,2002,No. of Rape cases,797
karnataka,2002,No. of Rape cases,292
kerala,2002,No. of Rape cases,499
madhya pradesh,2002,No. of Rape cases,2891
maharashtra,2002,No. of Rape cases,1352
manipur,2002,No. of Rape cases,14
meghalaya,2002,No. of Rape cases,38
mizoram,2002,No. of Rape cases,76
nagaland,2002,No. of Rape cases,17
odisha,2002,No. of Rape cases,691
punjab,2002,No. of Rape cases,299
rajasthan,2002,No. of Rape cases,1051
sikkim,2002,No. of Rape cases,6
tamil nadu,2002,No. of Rape cases,534
tripura,2002,No. of Rape cases,108
uttar pradesh,2002,No. of Rape cases,1415
uttarakhand,2002,No. of Rape cases,89
west bengal,2002,No. of Rape cases,759
a & n islands,2002,No. of Rape cases,2
chandigarh,2002,No. of Rape cases,18
d & n haveli,2002,No. of Rape cases,4
daman & diu,2002,No. of Rape cases,0
lakshadweep,2002,No. of Rape cases,1
puducherry,2002,No. of Rape cases,6
andhra pradesh,2003,No. of Rape cases,946
arunachal pradesh,2003,No. of Rape cases,31
assam,2003,No. of Rape cases,1095
bihar,2003,No. of Rape cases,985
chhattisgarh,2003,No. of Rape cases,898
goa,2003,No. of Rape cases,31
gujarat,2003,No. of Rape cases,236
haryana,2003,No. of Rape cases,353
himachal pradesh,2003,No. of Rape cases,126
jammu & kashmir,2003,No. of Rape cases,211
jharkhand,2003,No. of Rape cases,712
karnataka,2003,No. of Rape cases,321
kerala,2003,No. of Rape cases,394
madhya pradesh,2003,No. of Rape cases,2738
maharashtra,2003,No. of Rape cases,1268
manipur,2003,No. of Rape cases,18
meghalaya,2003,No. of Rape cases,40
mizoram,2003,No. of Rape cases,54
nagaland,2003,No. of Rape cases,14
odisha,2003,No. of Rape cases,725
punjab,2003,No. of Rape cases,380
rajasthan,2003,No. of Rape cases,1050
sikkim,2003,No. of Rape cases,10
tamil nadu,2003,No. of Rape cases,557
tripura,2003,No. of Rape cases,114
uttar pradesh,2003,No. of Rape cases,911
uttarakhand,2003,No. of Rape cases,107
west bengal,2003,No. of Rape cases,1002
a & n islands,2003,No. of Rape cases,2
chandigarh,2003,No. of Rape cases,18
d & n haveli,2003,No. of Rape cases,1
daman & diu,2003,No. of Rape cases,5
lakshadweep,2003,No. of Rape cases,2
puducherry,2003,No. of Rape cases,2
andhra pradesh,2004,No. of Rape cases,1016
arunachal pradesh,2004,No. of Rape cases,42
assam,2004,No. of Rape cases,1171
bihar,2004,No. of Rape cases,1390
chhattisgarh,2004,No. of Rape cases,969
goa,2004,No. of Rape cases,37
gujarat,2004,No. of Rape cases,339
haryana,2004,No. of Rape cases,386
himachal pradesh,2004,No. of Rape cases,153
jammu & kashmir,2004,No. of Rape cases,218
jharkhand,2004,No. of Rape cases,797
karnataka,2004,No. of Rape cases,291
kerala,2004,No. of Rape cases,480
madhya pradesh,2004,No. of Rape cases,2875
maharashtra,2004,No. of Rape cases,1388
manipur,2004,No. of Rape cases,31
meghalaya,2004,No. of Rape cases,54
mizoram,2004,No. of Rape cases,20
nagaland,2004,No. of Rape cases,18
odisha,2004,No. of Rape cases,770
punjab,2004,No. of Rape cases,390
rajasthan,2004,No. of Rape cases,1038
sikkim,2004,No. of Rape cases,3
tamil nadu,2004,No. of Rape cases,618
tripura,2004,No. of Rape cases,160
uttar pradesh,2004,No. of Rape cases,1397
uttarakhand,2004,No. of Rape cases,115
west bengal,2004,No. of Rape cases,1475
a & n islands,2004,No. of Rape cases,10
chandigarh,2004,No. of Rape cases,19
d & n haveli,2004,No. of Rape cases,7
daman & diu,2004,No. of Rape cases,1
lakshadweep,2004,No. of Rape cases,0
puducherry,2004,No. of Rape cases,4
andhra pradesh,2005,No. of Rape cases,935
arunachal pradesh,2005,No. of Rape cases,35
assam,2005,No. of Rape cases,1238
bihar,2005,No. of Rape cases,1147
chhattisgarh,2005,No. of Rape cases,990
goa,2005,No. of Rape cases,20
gujarat,2005,No. of Rape cases,324
haryana,2005,No. of Rape cases,461
himachal pradesh,2005,No. of Rape cases,141
jammu & kashmir,2005,No. of Rape cases,201
jharkhand,2005,No. of Rape cases,753
karnataka,2005,No. of Rape cases,343
kerala,2005,No. of Rape cases,478
madhya pradesh,2005,No. of Rape cases,2921
maharashtra,2005,No. of Rape cases,1545
manipur,2005,No. of Rape cases,25
meghalaya,2005,No. of Rape cases,63
mizoram,2005,No. of Rape cases,37
nagaland,2005,No. of Rape cases,17
odisha,2005,No. of Rape cases,799
punjab,2005,No. of Rape cases,398
rajasthan,2005,No. of Rape cases,993
sikkim,2005,No. of Rape cases,18
tamil nadu,2005,No. of Rape cases,571
tripura,2005,No. of Rape cases,162
uttar pradesh,2005,No. of Rape cases,1217
uttarakhand,2005,No. of Rape cases,133
west bengal,2005,No. of Rape cases,1686
a & n islands,2005,No. of Rape cases,4
chandigarh,2005,No. of Rape cases,33
